fold,val_f1,val_precision,val_recall
1,0.9905165101448015,0.9950614636935392,0.9863043742230536
2,0.9869566216290204,0.9964085636357991,0.9778997270845098
3,0.9894268028778899,0.9989824646074645,0.9805870745365426
4,0.9872463356585828,0.999439461883408,0.9756765132684251
5,0.9773762138751626,0.994537581439695,0.9618955871118501
