Config,Params,Accuracy,F1-Score,Kappa,Epoch Time (s),Inference (ms)
v1,4017796,0.9541188738269031,0.8324151808745066,0.801985033791489,26.577751702070238,0.3999473507045418
v2,4017796,0.9562043795620438,0.8458398445483413,0.8168129550299754,39.932506293058395,0.42629088926058945
v3,4017796,0.9564650677789364,0.8426621654547446,0.8138125201943844,43.72843795418739,0.39998748770324133
v4,4017796,0.9539885297184567,0.8474000768600253,0.8164457661932834,54.90569105148315,0.3877696250715564
